session_index,question,rank,score,level,number,doc_id,title
1,Как у нас проходит процедура закупки оборудования от начала до конца?,1,0.7809,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Примечания
1,Как у нас проходит процедура закупки оборудования от начала до конца?,2,0.7606,1,7,b497403b-04e3-423e-bb5a-670c170f5a33,"7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,3,0.751,1,8,b497403b-04e3-423e-bb5a-670c170f5a33,"8 Верификация поставленной продукции, работ (услуг)"
1,Как у нас проходит процедура закупки оборудования от начала до конца?,4,0.7483,1,6,b497403b-04e3-423e-bb5a-670c170f5a33,"6 Оценка, выбор и переоценка поставщиков."
1,Как у нас проходит процедура закупки оборудования от начала до конца?,5,0.7339,1,7,b497403b-04e3-423e-bb5a-670c170f5a33,Приложение Г
1,Как у нас проходит процедура закупки оборудования от начала до конца?,6,0.7335,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,СОГЛАСОВАНО:
1,Как у нас проходит процедура закупки оборудования от начала до конца?,7,0.7312,1,Д,b497403b-04e3-423e-bb5a-670c170f5a33,Приложение Д
1,Как у нас проходит процедура закупки оборудования от начала до конца?,8,0.7272,1,1,b497403b-04e3-423e-bb5a-670c170f5a33,Приложение А
1,Как у нас проходит процедура закупки оборудования от начала до конца?,9,0.7269,1,1,b497403b-04e3-423e-bb5a-670c170f5a33,1 Назначение
1,Как у нас проходит процедура закупки оборудования от начала до конца?,10,0.7207,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,2 Область применения
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",1,0.7939,1,6,b497403b-04e3-423e-bb5a-670c170f5a33,"6 Оценка, выбор и переоценка поставщиков."
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",2,0.7832,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,Примечания
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",3,0.7754,1,8,b497403b-04e3-423e-bb5a-670c170f5a33,"8 Верификация поставленной продукции, работ (услуг)"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",4,0.7667,1,7,b497403b-04e3-423e-bb5a-670c170f5a33,"7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
2,"""Можно ли закупить оборудование без процедуры оценки поставщика?",5,0.7572,1,2,b497403b-04e3-423e-bb5a-670c170f5a33,2 Область применения
3,Нужно ли ежегодно проводить переоценку поставщиков?,1,0.8195,1,6,b497403b-04e3-423e-bb5a-670c170f5a33,"6 Оценка, выбор и переоценка поставщиков."
3,Нужно ли ежегодно проводить переоценку поставщиков?,2,0.768,1,8,b497403b-04e3-423e-bb5a-670c170f5a33,"8 Верификация поставленной продукции, работ (услуг)"
3,Нужно ли ежегодно проводить переоценку поставщиков?,3,0.7614,1,7,b497403b-04e3-423e-bb5a-670c170f5a33,"7 Порядок действий при внешних поставках для осуществления работ по договорам в офисе Института и внешних поставках, связанных с развитием инфраструктуры и материальных ресурсов Института"
3,Нужно ли ежегодно проводить переоценку поставщиков?,4,0.751,1,5,b497403b-04e3-423e-bb5a-670c170f5a33,5 Основные положения
